species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
C8 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2N2H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2N2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C8H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H2N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H5 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H7 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H6OH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H6 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6H7+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C6N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H3NH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C7H- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3H3N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C3- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3OH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
t-C3H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3SH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NCSH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CH2O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CH2O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CH2OH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CH2S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CH2SH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CHS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CHSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CNH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH2CO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NH3CH2SH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC2H4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NHCHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NO2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NaH2O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NaOH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
O2H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
O3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
OCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
OCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
OH- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC2H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC2H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NCO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NC8N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NC6N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NC4N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOCN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOCS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HONC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HONC+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOOH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HPN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HPO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HPO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HS2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSCN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSO2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSSH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSiO2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HSiS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HeH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
MgH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
MgH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
N2O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
NC3N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC2H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC3H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HO2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiCH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiCH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiH5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiNC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiNCH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiO2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC4H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-C3H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-C3H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-C3H2O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-C3H2OH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-C3H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-HCCHSi 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
c-SiC2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-C3H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-C3H2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-C3H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-C3H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-SiC3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiCH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiCH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC4H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PC4H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PCH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PCH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PCH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PH3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PNH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
PO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
S- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
S2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
S2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SO2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SO2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC2H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC2H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC2H3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC3H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC3H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC3H2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
SiC4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HOCHN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNSi 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3SH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2S3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CNO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
l-SiC3+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2NCO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2NCS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2OCN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2PO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2S2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2SCN+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC2O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2SiO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2SiO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3C4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3C4NH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3C6NH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3C7N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3S2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H3SiO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H5C2O2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H5C3O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC10N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CCl+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CCO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH3SH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH4 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CN- 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CNCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CNO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CO2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
COOCH4+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CP 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CP+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CS2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CS2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
ClO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
ClO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
FeH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2C2S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2C3O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2C3O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2C3S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2C4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC2NCH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC2S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCOOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNCC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCNSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCOCHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCOCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCOOCH3 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCOOH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCP 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCP+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCS2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCSi 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HN2O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCCC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCO+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HNCSH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCSi 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCS 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCP 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCNC 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3NH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3O 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3S 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC3S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC4N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC4N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC4O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC4S+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC5N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC5N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC5NH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC5O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC6N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC6N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC7N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC7N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC7O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC8N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC8N+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC9N 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HC9O+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCCHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
HCCCHOH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
H2CNS+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
