species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
OH 1.139769150153e-01 1.139769150153e-01 1.139060872291e-01 7.082778620138e-05
HCl+ 1.135909414360e-01 1.135885260195e-01 1.135909414360e-01 2.415416551216e-06
NaH 1.112362813010e-01 1.112209622961e-01 1.112362813010e-01 1.531900497653e-05
NO 1.111579990538e-01 1.111579990538e-01 1.111222061714e-01 3.579288246058e-05
N2+ 1.069419327667e-01 1.069419327667e-01 1.069286264076e-01 1.330635914698e-05
HF+ 1.057478597096e-01 1.057377189908e-01 1.057478597096e-01 1.014071886551e-05
NH+ 1.052331164150e-01 1.052331164150e-01 1.052212267797e-01 1.188963533139e-05
CH2+ 1.026175506497e-01 1.026160466660e-01 1.026175506497e-01 1.503983749984e-06
H3+ 7.880209943369e-02 7.880209943369e-02 7.876673372657e-02 3.536570712193e-05
CN 7.837178899047e-02 7.837143925646e-02 7.837178899047e-02 3.497340141934e-07
C2+ 7.691251371122e-02 7.691251371122e-02 7.684591012016e-02 6.660359106192e-05
HS+ 7.660107871251e-02 7.660107871251e-02 7.660078774700e-02 2.909655130168e-07
HNSi+ 7.570604144313e-02 7.564463795816e-02 7.570604144313e-02 6.140348496331e-05
H+ 7.402197456360e-02 7.392393964200e-02 7.402197456360e-02 9.803492160465e-05
CS+ 7.011005959044e-02 7.011005959044e-02 7.008674560694e-02 2.331398350464e-05
H2S+ 6.846255033836e-02 6.846189113372e-02 6.846255033836e-02 6.592046482012e-07
SiH2+ 6.695890196308e-02 6.695827637015e-02 6.695890196308e-02 6.255929250187e-07
H2 6.693917658959e-02 6.693856759459e-02 6.693917658959e-02 6.089950010946e-07
HNC+ 6.177364897950e-02 6.171306644578e-02 6.177364897950e-02 6.058253372032e-05
H2O+ 5.873026932215e-02 5.873026932215e-02 5.868013826623e-02 5.013105592333e-05
e- 5.851732466432e-02 5.843128445019e-02 5.851732466432e-02 8.604021412850e-05
SiH 5.549743876588e-02 5.549743876588e-02 5.541204102061e-02 8.539774526639e-05
NH 5.084112815809e-02 5.084112815809e-02 5.084102383699e-02 1.043210939855e-07
